prolificid,subject_id,age,gender,label,trialnum,status,outcome,getsout,bloc,img1,img2,buttonchoice,rtchoice,rt,response,key_press,time_elapsed,internal_node_id,trial_type,trial_index,stimulus,responses,playerout,playeroutnumber,rated,date,time,datefinish,timefinish,,
5ab54f75fa3b4e000172c7a6,1818214,31,M,scaleresp,30,2,2,1,1,1,10,1,1408,2553,57,,436304,0.0-97.0,html-slider-response,97,"<p style=font-size:16px; text-align:center;"">  How responsible is Player 06 for the outcome ? </p>""",,3,Player 06,Player 06,26/05/2020,1.5905E+12,26/05/2020,1.5905E+12,,
5d4755febdd31c0019bb78e3,8551490,25,M,scaleresp,36,2,1,2,3,8,15,0,865,1123.5,86,,649874,0.0-249.0,html-slider-response,249,"<p style=font-size:16px; text-align:center;"">  How responsible is Player 50 for the outcome ? </p>""",,4,Player 82,Player 50,26/05/2020,1.5905E+12,26/05/2020,1.5905E+12,,
5ab54f75fa3b4e000172c7a6,1818214,31,M,scaleresp,38,2,2,1,1,3,10,1,1246,2362,60,,448720,0.0-102.0,html-slider-response,102,"<p style=font-size:16px; text-align:center;"">  How responsible is Player 37 for the outcome ? </p>""",,4,Player 37,Player 37,26/05/2020,1.5905E+12,26/05/2020,1.5905E+12,,
5d4755febdd31c0019bb78e3,8551490,25,M,scaleresp,20,2,1,2,3,4,11,1,861,1077.9,71,,660504,0.0-254.0,html-slider-response,254,"<p style=font-size:16px; text-align:center;""> &nbsp &nbsp &nbsp How responsible are YOU for the outcome ?  &nbsp &nbsp </p>""",,2,You,Player 50,26/05/2020,1.5905E+12,26/05/2020,1.5905E+12,,
5ab54f75fa3b4e000172c7a6,1818214,31,M,scaleresp,24,2,2,2,1,6,13,,,,,,459668,0.0-107.0,html-slider-response,107,"<p style=font-size:16px; text-align:center;""> &nbsp &nbsp &nbsp How responsible are YOU for the outcome ?  &nbsp &nbsp </p>""",,2,You,Player 37,26/05/2020,1.5905E+12,26/05/2020,1.5905E+12,,
5d4755febdd31c0019bb78e3,8551490,25,M,scaleresp,1,1,1,1,3,5,19,,,,,,671586,0.0-259.0,html-slider-response,259,"<p style=font-size:16px; text-align:center;"">  How responsible is Player 16 for the outcome ? </p>""",,0,Player 16,Player 16,26/05/2020,1.5905E+12,26/05/2020,1.5905E+12,,
5d4755febdd31c0019bb78e3,8551490,25,M,scaleresp,38,2,2,1,3,7,14,0,996,1036.4,81,,682657,0.0-264.0,html-slider-response,264,"<p style=font-size:16px; text-align:center;"">  How responsible is Player 82 for the outcome ? </p>""",,4,Player 82,Player 82,26/05/2020,1.5905E+12,26/05/2020,1.5905E+12,,
5d4a0c84029c3000010a8718,7488572,20,M,scaleresp,29,1,2,1,1,11,20,1,1330,8783.125,48,,348361,0.0-12.0,html-slider-response,12,"<p style=font-size:16px; text-align:center;"">  How responsible is Player 20 for the outcome ? </p>""",,3,Player 20,Player 20,26/05/2020,1.5905E+12,26/05/2020,1.5905E+12,,
5d4755febdd31c0019bb78e3,8551490,25,M,scaleresp,28,2,1,2,3,2,10,1,723,909.8,74,,693241,0.0-269.0,html-slider-response,269,"<p style=font-size:16px; text-align:center;"">  How responsible is Player 82 for the outcome ? </p>""",,3,Player 34,Player 82,26/05/2020,1.5905E+12,26/05/2020,1.5905E+12,,
5d4755febdd31c0019bb78e3,8551490,25,M,scaleresp,32,2,2,2,3,10,16,0,1246,1006.4,86,,704518,0.0-274.0,html-slider-response,274,"<p style=font-size:16px; text-align:center;"">  How responsible is Player 82 for the outcome ? </p>""",,3,Player 34,Player 82,26/05/2020,1.5905E+12,26/05/2020,1.5905E+12,,
5d4a0c84029c3000010a8718,7488572,20,M,scaleresp,13,1,2,1,1,6,14,1,1523,3502.875,22,,362247,0.0-17.0,html-slider-response,17,"<p style=font-size:16px; text-align:center;"">  How responsible is Player 58 for the outcome ? </p>""",,1,Player 58,Player 58,26/05/2020,1.5905E+12,26/05/2020,1.5905E+12,,
