"id","repetition","beta8","n","p"
2021,68,0,50,1
2022,68,0.05,50,0.311081697499266
2023,68,0.15,50,0.0274630859341263
2024,68,0.25,50,3.16712207342362e-06
2025,68,0.5,50,1.07013995549377e-08
2026,68,0,150,0.312340854109695
2027,68,0.05,150,0.261261276915113
2028,68,0.15,150,4.30798701022659e-06
2029,68,0.25,150,4.0960291606577e-11
2030,68,0.5,150,2.92740325207712e-18
2031,68,0,500,0.311864336074609
2032,68,0.05,500,0.111356721749449
2033,68,0.15,500,1.9322316301909e-07
2034,68,0.25,500,3.87127579263266e-12
2035,68,0.5,500,2.13631237635024e-18
2036,68,0,5000,0.311812626093218
2037,68,0.05,5000,0.111356721749449
2038,68,0.15,5000,1.9322316301909e-07
2039,68,0.25,5000,1.67202093463528e-12
2040,68,0.5,5000,2.13631237635024e-18
2041,69,0,5,0.373900966300064
2042,69,0.05,5,0.0203990329820924
2043,69,0.15,5,0.00080418726785101
2044,69,0.25,5,0.0308477855430649
2045,69,0.5,5,0.0026922563996919
2046,69,0,25,0.328694683236462
2047,69,0.05,25,0.612276753290659
2048,69,0.15,25,5.20262704513847e-08
2049,69,0.25,25,2.20648330447995e-11
2050,69,0.5,25,1.60925212982445e-06
2051,69,0,50,0.160568265973163
2052,69,0.05,50,0.0824465434004187
2053,69,0.15,50,2.20247738094326e-16
2054,69,0.25,50,0.000329954754485264
2055,69,0.5,50,1.48756555773636e-14
2056,69,0,150,0.31255449324675
2057,69,0.05,150,0.221828148898129
2058,69,0.15,150,6.94279429968435e-06
2059,69,0.25,150,7.3542745862039e-16
2060,69,0.5,150,1.67441551179078e-17
2061,69,0,500,0.311864336074609
2062,69,0.05,500,0.111356721749449
2063,69,0.15,500,1.9322316301909e-07
2064,69,0.25,500,1.67202093463528e-12
2065,69,0.5,500,2.13631237635024e-18
2066,69,0,5000,0.311812626093218
2067,69,0.05,5000,0.111356721749449
2068,69,0.15,5000,1.9322316301909e-07
2069,69,0.25,5000,1.67202093463528e-12
2070,69,0.5,5000,2.13631237635024e-18
2071,70,0,5,0.999999763615498
2072,70,0.05,5,0.00415111095289953
2073,70,0.15,5,0.0195957859361917
2074,70,0.25,5,0.0667655717702515
2075,70,0.5,5,0.00369695049095716
2076,70,0,25,0.328183261880707
2077,70,0.05,25,9.8616630613052e-12
2078,70,0.15,25,2.16719021126496e-09
2079,70,0.25,25,0.00176577067699345
2080,70,0.5,25,0.00112116679626806
2081,70,0,50,0.315694427579763
2082,70,0.05,50,0.309706231919591
2083,70,0.15,50,0.000230001055594599
2084,70,0.25,50,5.0466016685607e-07
2085,70,0.5,50,1.82886871048214e-07
2086,70,0,150,0.312480792406356
2087,70,0.05,150,0.0213611104487718
2088,70,0.15,150,9.55388246893039e-10
2089,70,0.25,150,3.09005193886224e-14
2090,70,0.5,150,2.29621480293169e-17
2091,70,0,500,0.311812626093218
2092,70,0.05,500,0.111356721749449
2093,70,0.15,500,1.9322316301909e-07
2094,70,0.25,500,1.67202093463528e-12
2095,70,0.5,500,2.13631237635024e-18
2096,70,0,5000,0.311812626093218
2097,70,0.05,5000,0.111356721749449
2098,70,0.15,5000,1.9322316301909e-07
2099,70,0.25,5000,1.67202093463528e-12
2100,70,0.5,5000,2.13631237635024e-18
2101,71,0,5,1
2102,71,0.05,5,0.00596732113401634
2103,71,0.15,5,0.0100192789267541
2104,71,0.25,5,0.0313238566087901
2105,71,0.5,5,0.0109613547143943
2106,71,0,25,0.32869468323638
2107,71,0.05,25,3.85678643225328e-08
2108,71,0.15,25,1.78724094394159e-10
2109,71,0.25,25,8.0338105435919e-12
2110,71,0.5,25,2.34111577806797e-05
2111,71,0,50,0.659838472355312
2112,71,0.05,50,0.246239118191757
2113,71,0.15,50,0.00846278224615058
2114,71,0.25,50,1.62718086923984e-06
2115,71,0.5,50,1.1502894398932e-10
2116,71,0,150,0.312274368913551
2117,71,0.05,150,0.15027823003316
2118,71,0.15,150,1.85032212010181e-06
2119,71,0.25,150,4.84806196782787e-09
2120,71,0.5,150,6.29698287047536e-19
2121,71,0,500,0.311812626093218
2122,71,0.05,500,0.111356721749449
2123,71,0.15,500,1.9322316301909e-07
2124,71,0.25,500,1.67202093463528e-12
2125,71,0.5,500,2.13631237635024e-18
2126,71,0,5000,0.311812626093218
2127,71,0.05,5000,0.111356721749449
2128,71,0.15,5000,1.9322316301909e-07
2129,71,0.25,5000,1.67202093463528e-12
2130,71,0.5,5000,2.13631237635024e-18
2131,72,0,5,1
2132,72,0.05,5,0.0354575323215522
2133,72,0.15,5,0.066660423894997
2134,72,0.25,5,0.00581603315991913
2135,72,0.5,5,0.0247795748994171
2136,72,0,25,0.999999439070578
2137,72,0.05,25,0.939250137487999
2138,72,0.15,25,0.0518864500961982
2139,72,0.25,25,0.000762026188439996
2140,72,0.5,25,6.83127545702253e-09
2141,72,0,50,0.324374710526152
